breed,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,size
Border Collie,3,4,4,4,3,2,3,4,5,4,3,2,3,4,1,4,5,2,2,4,3,5,3,4,5,3,4,2,3,3,5,5.0
Chihuahua,3,5,3,3,3,4,3,4,5,4,3,4,3,5,2,5,3,4,4,4,5,5,3,3,2,2,4,4,4,4,5,3.0
Chow Chow,3,2,3,2,3,2,4,4,4,1,4,3,3,2,1,1,4,4,4,5,4,4,4,3,2,4,4,5,3,5,4,2.0
Chow Chow,4,1,4,4,3,4,2,5,5,5,4,3,3,4,3,3,1,4,1,3,3,4,3,3,4,3,4,3,2,5,4,3.0
Cesky Terrier,3,1,3,3,2,4,3,4,5,4,1,5,3,1,2,4,4,4,2,3,4,4,2,1,2,2,4,5,3,5,5,4.0
Bluetick Coonhound,3,1,3,4,3,4,3,4,4,4,4,3,3,3,2,3,3,4,2,4,5,4,3,2,4,3,4,5,3,5,1,2.0
BoShih,2,1,2,2,3,4,3,4,5,5,4,3,3,5,1,5,3,3,3,4,4,4,4,2,3,3,4,4,2,4,5,2.0
Bocker,2,3,3,5,2,3,3,4,4,5,4,3,3,3,1,2,3,3,3,4,3,4,3,4,4,1,5,5,3,4,5,3.0
Shih Tzu,3,4,3,4,2,4,3,4,4,4,3,3,3,3,2,5,4,2,3,4,4,4,3,3,2,2,4,3,4,5,4,4.0
Rottle - Small,3,1,3,3,2,5,4,3,5,4,3,1,3,5,1,3,3,2,3,3,4,5,3,4,3,5,4,3,3,5,5,3.0
Stabyhoun,2,5,2,3,5,3,1,4,5,3,1,3,3,4,2,5,3,4,3,4,4,4,3,5,4,4,4,3,5,5,4,3.0
Bocker,3,5,3,4,2,3,4,4,5,5,2,3,3,2,1,1,3,4,3,4,3,4,3,4,4,3,3,3,4,4,5,5.0
Chow Chow,3,2,4,3,2,3,3,5,4,4,4,4,3,5,1,3,4,5,3,4,5,3,3,4,3,1,4,4,1,5,3,3.0
Cesky Terrier,3,3,3,4,2,4,3,4,5,5,5,4,2,3,1,4,3,3,4,3,4,5,3,4,4,3,4,5,3,4,5,5.0
Chow Chow,3,5,2,5,2,3,3,4,5,2,4,4,3,2,1,4,4,4,4,3,4,4,3,3,3,3,2,5,2,4,5,3.0
Chug,3,2,2,2,2,4,3,4,5,4,5,3,3,2,4,5,4,4,2,5,5,5,5,3,2,2,4,5,4,4,3,2.0
Schnoodle,3,4,4,4,3,3,2,1,5,5,4,5,3,1,1,3,4,2,3,3,5,5,2,4,2,2,5,4,3,4,5,3.0
Chorkie,3,4,2,3,1,3,4,4,5,5,4,5,3,3,1,3,4,5,2,4,3,5,3,3,4,2,4,2,3,5,5,5.0
Lhasa Apso,4,1,4,4,1,3,3,4,5,3,3,3,3,4,1,4,4,3,1,4,4,4,4,3,4,3,4,3,4,5,5,3.0
Belgian Malinois,3,3,3,5,5,1,3,4,5,4,5,4,3,4,2,3,4,4,1,3,5,4,3,3,1,3,4,4,3,5,4,4.0
Shiba Inu,4,4,2,3,2,4,2,4,4,4,3,3,3,3,1,1,3,4,1,3,1,4,4,4,3,5,4,5,3,4,5,3.0
Chow Chow,3,3,3,4,3,3,1,3,5,4,5,1,3,3,3,1,3,4,4,4,3,5,3,4,4,4,4,4,4,4,5,2.0
Mudi,3,2,3,4,1,3,4,3,5,4,4,3,3,4,2,1,4,3,5,5,5,4,3,4,4,4,2,4,4,3,4,3.0
Chow Chow,3,1,4,3,2,1,4,4,5,4,4,3,3,3,1,5,3,4,1,4,4,5,3,1,5,5,4,4,2,4,2,3.0
Belgian Malinois,4,1,2,3,2,4,2,4,5,4,4,5,3,2,1,3,2,4,3,3,5,5,4,3,4,2,4,5,4,4,5,3.0
Belgian Malinois,3,3,3,4,2,1,3,4,5,5,3,3,3,5,1,3,4,4,3,3,4,4,4,4,5,1,5,4,2,5,4,2.0
Chow Chow,3,4,3,4,3,4,3,4,4,4,3,3,3,4,1,4,3,3,2,4,4,5,3,3,3,3,4,5,5,4,5,3.0
Shichon,3,2,3,3,2,5,3,4,5,4,5,4,2,4,3,4,4,3,4,3,4,3,3,3,2,2,4,5,3,4,5,3.0
Bernese Mountain Dog,3,4,3,3,2,2,3,4,4,4,3,3,3,4,2,4,2,4,1,4,3,4,3,4,4,4,3,5,4,4,5,4.0
Chow Chow,2,1,4,5,2,4,3,5,5,5,4,5,3,3,2,5,3,3,3,4,5,4,4,2,1,3,4,5,3,3,5,3.0
Bluetick Coonhound,3,2,3,4,3,3,4,4,5,4,4,3,3,3,2,4,3,2,3,3,3,4,2,2,5,5,4,3,4,3,5,2.0
Bocker,3,4,3,5,3,2,4,4,4,1,5,3,3,4,4,2,4,3,4,3,5,5,3,1,3,3,2,4,3,3,5,3.0
Belgian Malinois,3,1,4,5,2,2,3,1,5,4,2,3,4,5,1,4,5,4,2,3,3,5,5,4,2,4,4,4,3,3,5,2.0
Bocker,2,1,3,4,2,3,3,4,5,4,4,5,3,4,2,4,1,5,3,3,5,3,3,3,2,1,4,5,3,5,5,5.0
Bullmastiff,4,5,1,4,1,4,3,4,5,5,2,3,3,5,2,1,4,3,5,3,4,3,4,1,4,2,4,5,5,5,5,5.0
Chow Chow,3,5,5,4,2,2,3,5,5,5,3,3,3,3,1,4,3,5,3,3,4,4,3,2,3,3,4,4,3,3,5,3.0
Chow Chow,3,2,3,4,1,3,3,3,4,4,4,3,3,1,4,4,1,4,2,4,4,4,4,3,4,2,4,4,5,4,5,2.0
Cesky Terrier,4,3,2,4,1,5,4,4,5,5,2,2,3,4,3,3,4,5,1,4,4,5,3,2,4,3,5,5,5,4,4,5.0
Cavapoo,2,2,3,3,2,3,4,4,5,5,5,3,3,2,2,3,3,3,3,4,3,4,3,4,5,4,4,4,3,5,5,4.0
Chow Chow,2,5,2,4,3,4,3,5,5,4,5,5,3,3,1,1,3,4,3,4,2,4,5,4,3,4,5,3,3,3,5,2.0
Catahoula Leopard Dog,4,2,2,5,2,4,2,4,5,4,1,3,3,5,1,3,3,2,2,4,4,4,3,3,4,4,4,4,3,5,4,3.0
Chow Chow,3,5,3,3,4,4,4,4,5,4,4,3,3,4,1,4,4,3,3,4,4,5,5,4,2,3,4,4,2,4,5,3.0
Cesky Terrier,3,3,3,3,3,3,4,4,5,5,5,5,3,1,2,3,2,4,4,3,5,5,2,2,3,4,4,3,2,5,4,3.0
Chow Chow,3,2,3,5,2,4,4,3,5,5,3,3,3,4,4,3,3,3,1,3,5,4,3,1,3,3,4,4,3,4,5,5.0
Chorkie,3,5,5,4,3,4,3,4,4,4,5,3,3,4,2,2,4,4,1,3,3,4,2,2,3,3,4,5,3,3,2,3.0
Bocker,3,4,2,5,3,5,3,5,5,5,2,3,2,4,1,5,5,3,4,4,4,4,3,3,3,2,5,2,2,3,2,3.0
Shorkie,3,1,2,5,2,3,4,3,5,5,5,3,3,2,1,4,3,3,2,4,5,3,3,1,4,2,4,4,5,4,4,5.0
Bocker,4,4,2,3,1,4,3,3,5,4,4,4,4,4,2,3,3,4,1,4,3,5,3,1,3,2,4,4,2,5,5,3.0
Belgian Malinois,3,5,4,4,1,4,4,4,5,5,3,1,4,2,2,4,2,3,4,4,5,5,3,3,4,3,4,5,2,4,5,5.0
Chow Chow,3,2,3,3,3,3,3,4,5,5,4,3,3,4,2,5,3,4,3,4,3,5,3,5,3,3,4,4,4,4,5,3.0
Spinone Italiano,3,5,2,4,2,4,5,4,5,5,4,3,3,4,1,3,4,4,2,3,2,5,3,3,3,3,4,4,5,5,5,5.0
Chow Chow,3,1,2,4,3,3,3,3,3,3,1,3,3,1,2,5,4,3,4,3,5,5,3,3,2,3,5,5,3,4,4,4.0
Chow Chow,3,2,3,4,2,3,3,4,5,3,4,2,3,5,2,3,4,5,5,4,3,5,4,4,3,2,4,5,3,3,4,3.0
Chorkie,3,3,2,2,3,4,3,4,4,4,1,3,3,5,1,5,3,4,2,3,5,5,4,5,3,4,4,5,1,4,4,2.0
Chow Chow,3,2,3,3,1,3,3,4,4,4,3,4,3,2,1,1,3,4,2,3,5,4,4,1,4,4,4,3,2,3,4,3.0
Chug,3,1,3,3,2,3,3,5,5,5,3,3,3,1,2,2,3,4,3,2,1,5,4,3,3,2,4,5,4,4,3,3.0
Chow Chow,3,1,3,3,2,4,3,4,5,4,5,2,3,3,2,4,3,4,1,4,5,5,3,3,3,2,4,4,4,5,5,2.0
Boxmatian,3,1,2,3,2,3,4,4,4,4,4,3,3,3,1,4,3,3,3,3,5,4,3,3,4,4,4,5,4,4,5,4.0
American Leopard Hound,3,1,2,3,2,3,3,4,5,4,5,3,3,3,1,4,3,4,2,4,3,5,2,3,3,3,4,5,3,4,5,3.0
Rottle - Medium,3,3,4,3,1,2,4,5,5,5,5,3,3,2,1,4,4,4,4,4,3,4,3,3,4,3,4,5,4,5,4,3.0
Cesky Terrier,3,5,2,5,2,3,3,3,4,4,5,5,3,4,1,3,2,4,4,3,4,5,2,2,2,2,3,5,4,5,5,2.0
Bocker,3,3,1,4,2,2,3,5,4,4,1,3,3,3,1,1,3,4,3,3,2,5,3,2,4,3,4,5,1,5,5,5.0
Cesky Terrier,3,1,2,3,5,2,3,5,5,4,5,2,3,2,2,1,3,3,4,4,4,5,3,1,1,4,5,5,4,4,5,3.0
Chow Chow,3,2,2,4,3,5,4,4,5,4,4,5,3,1,2,3,2,3,3,3,4,5,3,4,3,3,4,5,5,5,5,3.0
Cheagle,4,4,3,4,2,3,3,5,4,5,3,3,3,2,1,1,3,2,3,4,3,3,3,4,4,4,4,4,2,4,2,2.0
Shichon,3,3,2,4,3,5,3,3,4,4,1,3,3,4,1,3,3,4,3,3,5,5,3,3,2,4,4,5,3,5,5,2.0
Cavapoo,3,1,2,4,1,3,4,4,5,1,5,4,3,2,1,1,4,4,3,4,3,4,3,4,4,2,5,4,3,4,4,4.0
Cavapoo,3,2,1,3,3,2,4,5,5,5,2,3,3,5,1,3,4,5,3,3,3,3,3,5,3,2,4,4,4,5,5,4.0
Cavapoo,3,2,5,3,3,4,3,3,5,4,4,3,3,2,2,3,3,4,1,3,5,5,2,5,2,3,4,4,4,5,5,3.0
Belgian Malinois,3,1,3,3,2,1,3,4,5,5,5,3,3,4,2,3,3,4,2,3,4,4,2,3,4,2,4,4,2,5,4,2.0
Cirneco dell’Etna,3,3,3,3,2,3,2,4,5,5,1,3,3,4,1,1,3,3,1,3,4,4,5,3,5,4,5,5,3,4,5,3.0
Bluetick Coonhound,3,3,3,3,2,3,2,4,5,5,3,3,5,1,2,4,3,2,2,5,2,5,3,4,4,1,4,5,4,3,5,4.0
German Shepherd Pit Bull,3,3,2,5,2,1,3,4,4,3,4,4,3,3,1,2,3,4,2,4,5,5,3,4,2,3,5,5,4,5,5,2.0
Bullador,2,4,3,3,3,5,1,4,5,1,5,2,2,2,2,3,4,4,4,4,2,4,3,4,2,3,5,4,1,4,3,4.0
Chow Chow,3,2,3,4,2,1,3,4,5,5,4,3,3,3,2,4,4,3,3,3,5,4,2,5,4,1,4,5,2,5,4,2.0
Shih Tzu,3,5,5,5,2,4,4,4,5,4,3,3,3,2,1,4,3,4,3,4,5,5,3,1,3,4,4,4,3,4,5,4.0
Rottle - Small,3,2,2,5,1,3,3,5,4,3,1,4,3,2,1,4,4,4,1,3,5,4,3,1,3,3,4,3,3,4,5,5.0
Bluetick Coonhound,3,4,2,5,2,4,3,4,5,4,2,3,3,1,2,4,5,3,4,3,5,5,4,4,2,3,4,5,3,4,5,2.0
Boxador,3,1,5,3,2,3,4,4,4,5,4,3,3,3,1,4,3,3,3,3,5,5,3,4,4,3,3,4,4,4,5,5.0
Belgian Malinois,4,2,1,3,5,4,3,4,5,4,4,4,3,2,3,5,4,2,4,3,4,4,3,4,2,2,5,2,1,5,5,3.0
Belgian Malinois,3,1,3,5,2,4,3,4,5,4,3,3,3,4,1,3,3,4,2,4,3,4,3,3,3,2,5,5,4,5,5,2.0
English Toy Spaniel,2,1,1,5,3,3,4,4,5,3,4,1,3,2,1,4,4,4,2,4,4,5,3,4,3,1,4,3,3,4,5,5.0
Bocker,3,1,2,4,3,4,4,4,5,4,3,3,5,4,2,5,5,4,5,3,5,5,3,4,4,3,4,5,3,5,5,2.0
Chilier,3,2,3,5,4,4,3,4,5,4,5,3,4,5,1,1,4,3,3,4,5,4,3,1,2,2,4,4,3,5,4,2.0
Chow Chow,3,4,4,5,4,4,4,3,5,5,3,4,4,1,2,1,4,3,4,4,5,5,3,5,4,4,4,5,2,4,5,5.0
Bocker,2,3,2,3,1,2,3,5,5,4,4,2,3,2,1,4,2,4,2,4,5,4,3,4,2,5,4,3,2,4,5,3.0
Bedlington Terrier,3,4,2,3,2,3,1,5,3,3,3,4,3,2,2,2,2,4,3,3,5,4,3,3,4,4,4,4,4,3,4,5.0
Braque du Bourbonnais,2,1,2,3,1,3,3,4,5,5,4,3,3,1,1,3,3,3,3,4,3,4,3,4,4,2,4,4,4,4,4,2.0
Chorkie,2,5,2,5,4,1,3,4,5,4,3,3,3,1,1,4,3,4,1,3,5,4,3,4,4,3,4,5,3,4,5,3.0
Cesky Terrier,3,1,2,3,2,4,3,4,5,4,5,3,3,5,2,1,3,3,4,3,3,5,2,3,4,3,4,4,4,4,5,1.0
Cesky Terrier,3,5,3,3,1,3,3,3,4,4,3,4,3,5,2,1,1,4,2,4,2,4,4,3,5,2,4,5,5,4,5,5.0
Cesky Terrier,3,1,3,3,2,4,3,4,4,5,4,2,3,4,2,4,4,4,2,3,5,5,3,3,1,1,5,5,3,4,4,2.0
Bullboxer Pit,2,1,2,5,1,3,3,5,5,4,5,4,3,4,1,5,3,3,3,4,5,5,3,1,4,1,4,4,4,4,5,2.0
Chow Chow,3,3,1,4,3,4,3,3,5,4,4,3,3,3,1,3,4,4,4,3,4,3,3,3,5,3,4,5,4,3,4,3.0
Chow Chow,3,3,3,3,3,3,1,4,2,4,4,4,4,2,1,3,4,1,2,4,4,4,3,1,2,1,4,5,4,5,5,4.0
Chow Chow,3,4,3,3,1,3,3,4,5,4,3,2,3,3,1,2,3,4,5,3,3,3,4,3,2,2,4,5,1,4,5,5.0
Whippet,3,2,1,3,3,4,3,4,4,3,2,3,3,2,3,5,4,4,2,4,4,5,2,4,4,2,4,4,4,4,5,4.0
Bocker,3,1,2,4,2,2,4,4,5,3,4,3,3,3,1,5,3,3,2,4,4,5,4,4,3,2,4,2,2,4,5,2.0
Cavapoo,4,3,1,5,5,4,4,4,4,4,4,3,3,2,2,2,4,3,2,4,2,4,3,4,3,2,4,3,3,3,5,4.0
Chorkie,3,1,3,4,5,3,3,3,4,4,3,2,3,5,1,4,5,4,3,4,5,4,3,3,2,5,4,5,4,5,5,2.0
Cesky Terrier,3,5,3,3,2,4,3,4,4,4,4,3,3,4,1,1,4,4,4,3,4,4,3,5,2,3,4,5,5,4,5,3.0
Rottle - Small,2,4,4,4,2,2,3,4,4,5,4,3,3,1,2,3,4,4,4,4,4,3,3,3,4,2,5,3,5,5,3,4.0
Chiweenie,4,5,3,3,2,4,2,4,4,4,3,3,3,1,2,4,4,3,5,4,5,5,3,4,5,2,4,4,2,4,5,3.0
Chorkie,3,2,3,5,1,3,3,3,5,5,3,4,3,3,1,2,4,3,3,3,4,5,3,3,2,2,4,3,3,4,5,4.0
Pug,3,4,3,3,3,3,4,4,5,4,3,3,3,4,1,4,4,5,4,3,2,4,3,3,3,4,5,5,3,4,5,3.0
Chow Chow,3,3,4,4,1,4,3,4,5,5,5,4,2,2,1,3,3,3,4,4,5,5,3,3,1,2,4,4,2,4,5,2.0
Bocker,4,2,3,4,1,1,4,5,5,4,4,5,3,4,1,1,3,4,4,3,5,3,2,2,2,2,4,4,3,4,5,4.0
Belgian Malinois,3,1,4,5,2,2,4,4,5,5,1,3,3,5,4,5,4,5,4,3,4,4,5,4,2,2,4,4,3,3,4,1.0
American Foxhound,3,3,2,3,3,3,4,5,4,4,4,3,3,2,2,4,3,4,2,3,4,5,3,3,2,3,4,5,3,5,2,3.0
Labrastaff,3,1,4,3,4,4,3,4,5,4,5,2,3,4,2,5,3,4,4,3,4,5,3,4,2,2,4,5,5,5,5,3.0
Belgian Malinois,3,5,3,4,2,3,3,5,4,4,5,3,4,4,2,2,3,4,4,4,2,4,2,3,4,4,4,3,3,5,5,2.0
Cesky Terrier,3,2,3,4,2,2,5,4,5,4,5,3,3,3,1,3,5,5,4,3,4,4,3,3,2,1,5,5,3,5,3,3.0
Cesky Terrier,3,5,2,5,1,3,3,4,5,5,4,3,3,5,1,4,3,4,5,3,5,4,3,3,2,4,4,3,3,4,5,2.0
Chow Chow,3,5,2,4,2,4,3,3,5,5,4,3,3,3,1,1,4,4,2,4,3,4,3,3,4,5,4,5,3,5,5,3.0
Rottle - Medium,3,3,4,4,1,2,4,4,4,5,3,3,3,2,1,3,5,3,2,4,3,5,3,5,4,2,4,4,4,5,5,5.0
Bocker,4,1,2,2,2,3,4,4,4,4,4,2,4,2,1,4,4,3,2,3,4,2,3,2,1,2,5,5,4,4,4,3.0
Bocker,3,4,1,4,5,2,4,3,5,5,4,4,3,1,2,3,4,1,4,3,1,4,2,2,4,4,4,3,4,4,5,4.0
Chow Chow,3,2,3,3,2,3,3,4,4,5,3,3,3,4,2,4,3,2,3,3,4,5,3,3,4,3,5,4,1,5,4,5.0
Cesky Terrier,3,2,2,5,3,2,3,2,4,5,4,3,3,2,1,4,3,4,2,3,2,4,3,5,4,3,4,5,3,4,5,2.0
Chow Chow,3,2,3,3,2,2,3,3,3,3,4,5,3,4,2,3,4,4,3,4,5,4,3,2,3,1,3,5,4,4,5,2.0
Bocker,3,1,3,2,3,3,3,4,4,4,3,3,3,4,2,2,3,4,4,4,4,5,3,4,3,3,4,5,4,5,4,3.0
Boglen Terrier,3,1,4,3,2,3,3,4,5,5,1,2,5,1,1,2,4,3,4,4,3,4,3,5,4,3,4,3,3,4,4,2.0
Chow Chow,3,5,2,3,2,3,3,4,5,1,3,3,3,3,5,4,3,3,1,3,5,4,3,3,4,2,4,5,3,3,4,4.0
Bocker,3,1,4,4,2,3,2,4,5,4,1,3,3,5,1,4,3,4,4,3,4,5,3,3,2,3,4,5,4,3,5,3.0
Chow Chow,3,1,4,4,2,4,3,4,4,4,3,3,2,4,1,2,3,4,2,3,4,5,5,3,1,2,3,4,3,4,5,2.0
Chi Chi,3,1,2,2,2,3,3,4,5,4,4,3,3,3,1,1,3,4,4,4,4,4,2,1,4,2,5,5,4,3,5,2.0
Pembroke Welsh Corgi,3,3,2,4,2,4,2,4,4,4,5,4,3,2,1,4,4,3,4,4,4,4,3,3,1,3,4,4,4,5,4,3.0
Chow Chow,3,2,3,5,3,2,3,4,5,5,3,3,3,1,1,1,4,5,3,4,5,4,3,2,4,2,5,5,3,4,5,4.0
Cheagle,4,5,2,4,2,1,3,5,4,4,5,5,3,1,1,2,4,1,4,3,1,5,3,3,3,2,5,5,4,4,5,1.0
Cavapoo,3,2,4,4,3,2,4,4,4,3,3,5,3,4,2,5,3,5,5,4,5,4,3,4,4,2,4,5,5,5,5,5.0
Bocker,3,4,3,3,3,4,3,4,4,4,4,3,3,2,2,5,3,2,1,3,2,4,3,4,4,3,4,4,2,4,5,3.0
Corgidor,3,2,2,3,3,4,4,1,5,4,5,3,3,4,1,5,3,4,2,3,5,4,3,4,4,2,5,3,5,4,4,2.0
Dachshund,3,3,2,4,3,4,3,4,5,5,4,3,3,5,1,3,3,4,3,4,5,4,3,3,2,3,4,5,4,3,5,3.0
Chow Chow,2,4,2,3,2,3,3,4,4,4,4,4,3,4,1,5,3,1,3,3,4,4,3,4,3,2,4,4,4,4,5,2.0
Shichon,3,2,3,4,2,3,3,4,5,4,4,4,3,2,1,3,4,4,2,4,5,4,3,3,3,3,4,4,3,3,5,3.0
Chilier,3,3,3,4,2,1,3,4,5,4,4,4,3,4,1,1,4,3,5,4,5,3,3,3,4,3,3,5,2,4,5,3.0
Bocker,3,3,3,4,1,4,3,4,5,4,4,3,3,1,1,5,4,4,4,4,3,2,3,4,4,3,2,5,3,5,4,1.0
Cesky Terrier,3,5,2,4,3,3,3,4,2,5,3,4,3,2,1,5,4,4,4,3,4,3,3,4,2,4,4,3,3,4,5,3.0
Bocker,3,3,3,5,2,3,1,4,5,4,2,3,3,5,1,1,3,3,2,4,5,4,3,3,3,3,5,5,2,5,5,5.0
Chow Chow,3,2,2,3,2,3,3,5,5,4,3,3,2,4,1,5,4,4,4,4,5,5,3,4,4,3,5,5,1,5,5,2.0
Weimaraner,3,2,3,3,2,4,3,5,5,5,3,3,2,1,1,3,4,4,2,3,2,5,3,3,3,3,4,2,3,4,5,3.0
Australian Shepherd Lab Mix,4,2,3,5,1,3,3,4,5,5,3,3,3,4,1,4,3,4,4,4,5,5,3,4,4,3,4,5,4,5,5,3.0
Frenchton,3,4,4,2,3,4,3,4,5,4,3,3,4,3,1,1,2,4,2,3,3,5,3,4,2,2,4,4,3,3,5,3.0
Rottle - Small,3,5,2,3,2,1,3,4,5,4,4,5,3,3,3,2,1,3,4,4,5,4,3,4,4,3,4,4,3,4,5,3.0
Chow Chow,2,2,2,4,3,4,2,3,5,4,1,3,3,2,1,5,4,4,2,4,5,5,3,4,4,1,5,4,2,5,4,3.0
Bull Terrier,3,1,3,4,3,4,2,5,5,5,2,4,3,5,1,3,4,4,4,3,2,4,2,3,2,5,4,5,2,3,5,4.0
Appenzeller Sennenhunde,3,2,4,4,3,3,4,4,4,4,3,4,4,4,2,5,4,3,4,4,5,5,3,3,4,3,5,5,2,5,4,3.0
Chow Chow,2,5,2,4,2,4,3,4,4,4,5,3,2,3,2,2,4,5,4,3,5,4,3,5,4,2,4,2,4,5,4,2.0
Chow Chow,3,4,2,3,3,4,4,3,5,4,4,3,3,4,2,3,3,1,5,3,1,5,3,5,2,2,4,4,3,3,5,4.0
Weimaraner,3,2,2,3,2,2,3,3,2,5,5,3,3,3,1,3,4,4,3,3,4,5,3,4,3,5,4,5,2,4,4,3.0
Boerboel,3,5,3,4,2,3,4,4,5,2,4,3,5,5,2,5,3,4,3,3,4,4,3,1,4,3,4,5,4,4,4,3.0
Chorkie,3,3,2,4,2,3,1,5,5,5,3,3,3,3,1,3,3,3,2,4,4,4,3,2,3,2,4,3,2,5,5,5.0
Bluetick Coonhound,3,3,2,4,4,3,3,4,5,4,4,3,3,3,1,1,1,4,3,3,5,4,3,4,2,3,4,5,4,4,4,3.0
Chow Chow,3,4,3,4,1,3,1,4,5,4,4,3,3,3,1,2,3,3,2,3,5,4,3,3,4,3,4,5,3,4,4,3.0
Chorkie,3,5,2,4,1,1,4,4,4,4,4,4,3,3,2,1,3,3,3,3,5,3,3,4,2,3,4,5,4,3,5,2.0
Cesky Terrier,3,3,2,3,3,2,3,4,5,5,4,3,3,1,2,5,4,3,3,3,4,5,3,4,1,2,4,5,4,5,4,3.0
Bichon Frise,2,5,3,3,3,2,4,3,5,5,5,3,3,5,1,4,4,3,2,4,4,5,3,3,2,2,4,5,4,5,4,5.0
Chow Chow,2,4,3,5,2,4,5,4,5,4,4,4,3,4,2,4,5,4,3,4,3,4,3,4,2,2,4,5,3,3,5,5.0
Cesky Terrier,4,3,3,4,2,5,3,5,4,5,3,3,3,3,5,4,2,4,2,3,3,4,4,4,2,2,3,4,4,4,5,2.0
Catahoula Bulldog,3,2,2,3,2,4,1,4,5,4,5,2,3,3,3,5,4,3,4,3,4,5,3,3,2,2,5,2,4,4,5,5.0
Cav-a-Jack,3,5,3,3,2,3,2,4,5,4,3,3,3,4,1,1,4,4,2,3,5,5,3,3,2,2,4,5,3,3,4,2.0
Australian Shepherd Lab Mix,3,5,2,3,2,4,3,5,5,3,4,3,3,1,2,3,4,3,4,3,3,4,3,1,3,3,5,4,4,5,5,3.0
