breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,height_range_in,size
Bluetick Coonhound,https://dogtime.com/dog-breeds/bluetick-coonhound,3,2,2,5,2,3,3,4,5,5,3,3,3,2,2,5,4,3,3,4,2,4,3,4,4,5,5,5,4,5,5,Hound Dogs,"1 foot, 11 inches to 2 feet, 6 inches tall at the shoulder",45 to 100 pounds,10 to 12 years,"23,30",4
Bocker,https://dogtime.com/dog-breeds/bocker,4,5,3,5,1,3,4,4,5,4,4,4,3,3,1,3,3,4,2,5,4,4,4,5,5,5,4,4,3,4,4,Mixed Breed Dogs,12 to 15 inches ,20 to 30 pounds ,12 to 15 years ,"12,15",2
Boerboel,https://dogtime.com/dog-breeds/boerboel,2,1,1,3,2,3,4,3,4,4,2,2,4,3,4,4,4,3,5,3,2,4,3,3,3,4,4,3,4,4,4,Working Dogs,22 to 28 inches,110 to 200 pounds,10 to 12 years,"22,28",5
Boglen Terrier,https://dogtime.com/dog-breeds/boglen-terrier,3,4,4,4,2,2,3,5,5,5,5,5,3,2,1,4,3,3,2,4,2,2,4,4,4,5,5,4,5,4,5,Mixed Breed Dogs,12 to 17 inches ,10 to 40 pounds,10 to 15 years ,"12,17",2
Bolognese,https://dogtime.com/dog-breeds/bolognese,3,5,3,5,2,2,3,5,5,5,5,5,2,1,1,1,5,3,1,4,5,4,4,5,4,1,3,3,3,4,3,Companion Dogs,9 inches to 1 foot tall at the shoulder,8 to 14 pounds,12 to 14 years,"9,12",2
Borador,https://dogtime.com/dog-breeds/borador,3,3,3,2,2,3,3,4,5,4,4,4,4,4,3,3,3,4,4,3,4,5,3,3,2,3,4,4,3,4,5,Hybrid Dogs,19 to 24 inches,40 to 65 pounds,10 to 15 years,"19,24",4
Border Collie,https://dogtime.com/dog-breeds/border-collie,3,2,2,5,1,4,4,4,5,4,3,5,3,3,1,3,2,3,3,4,5,5,3,3,2,3,5,5,3,5,5,Herding Dogs,"1 foot, 6 inches to 1 foot, 10 inches tall at the shoulder",30 to 45 pounds,12 to 15 years,"18,22",3
Border Sheepdog,https://dogtime.com/dog-breeds/border-sheepdog,3,2,3,2,2,4,2,4,5,4,3,3,3,3,1,3,4,2,3,4,4,5,4,3,4,2,4,5,3,5,4,Mixed Breed Dogs,16 to 22 inches,25 to 45 pounds,12 to 15 years,"16,22",3
Border Terrier,https://dogtime.com/dog-breeds/border-terrier,3,4,3,3,1,4,3,4,5,4,2,5,3,3,1,2,4,5,2,4,3,5,5,5,1,4,5,4,4,5,5,Terrier Dogs,10 inches to 11 inches tall at the shoulder,11 to 15 pounds,12 to 15 years,"10,11",2
Bordoodle,https://dogtime.com/dog-breeds/bordoodle,4,4,4,3,3,4,4,4,4,5,3,2,3,2,2,4,4,3,3,3,4,5,3,2,2,3,3,3,2,3,4,Mixed Breed Dogs,12 to 22 inches,30 to 60 pounds,12 to 15 years,"12,22",3
Borzoi,https://dogtime.com/dog-breeds/borzoi,4,5,3,5,1,4,3,4,4,3,4,4,4,5,1,4,4,2,5,4,3,4,3,5,2,4,2,2,2,2,3,Hound Dogs,"2 feet, 2 inches to 2 feet, 8 inches tall at the shoulder",55 to 105 pounds,10 to 12 years,"26,32",5
BoShih,https://dogtime.com/dog-breeds/boshih,3,5,4,3,1,2,2,3,4,2,3,4,3,2,1,5,3,3,2,2,2,3,1,1,2,2,3,3,2,3,5,Mixed Breed Dogs,12 to 15 inches ,10 to 20 pounds,12 to 15 years ,"12,15",2
Bossie,https://dogtime.com/dog-breeds/bossie,3,2,2,3,5,3,3,4,4,4,4,4,3,2,1,3,3,3,3,4,4,4,3,3,3,5,5,4,4,5,5,Mixed Breed Dogs,15 to 23 inches,25 to 40 pounds,12 to 15 years ,"15,23",3
Boston Boxer,https://dogtime.com/dog-breeds/boston-boxer,3,4,3,3,2,3,3,4,4,4,4,2,4,3,3,4,4,4,3,3,3,4,3,3,3,2,4,4,3,4,5,Mixed Breed Dogs,15 to 23 inches,22 to 55 pounds,12 to 15 years,"15,23",3
Boston Terrier,https://dogtime.com/dog-breeds/boston-terrier,4,5,4,5,3,3,2,5,4,5,5,4,3,2,1,5,4,3,2,3,4,4,2,2,3,5,5,4,5,4,5,Companion Dogs,"1 foot to 1 foot, 3 inches tall at the shoulder",10 to 25 pounds,13 to 15 years,"12,15",2
Bouvier des Flandres,https://dogtime.com/dog-breeds/bouvier-des-flandres,3,3,2,4,2,4,2,4,5,5,2,2,3,1,1,2,3,4,4,3,5,4,2,2,4,2,4,4,5,4,4,Herding Dogs,"1 foot, 11 inches to 2 feet, 4 inches tall at the shoulder",70 to 100 pounds,10 to 12 years,"23,28",5
Boxador,https://dogtime.com/dog-breeds/boxador,2,2,2,3,1,2,2,4,5,4,4,4,4,4,2,5,2,4,4,4,5,5,3,2,3,3,5,5,5,5,5,Mixed Breed Dogs,23 to 25 inches,50 to 110 pounds,12 to 15 years,"23,25",4
Boxer,https://dogtime.com/dog-breeds/boxer,3,4,3,4,1,2,1,4,5,4,3,4,3,4,2,5,2,4,3,3,4,4,2,3,3,3,5,5,5,5,5,Working Dogs,21 to 25 inches at the shoulder,60 to 70 pounds,10 to 12 years,"21,25",4
Boxerdoodle - Standard,https://dogtime.com/dog-breeds/boxerdoodle,3,1,3,3,2,3,3,4,4,3,4,3,3,2,2,3,3,4,3,3,4,4,2,3,2,4,4,4,4,4,5,Mixed Breed Dogs,16 to 25 inches,35 to 70 pounds,10 to 12 years,16 to 25,3
Boxerdoodle - Small,https://dogtime.com/dog-breeds/boxerdoodle,3,1,3,3,2,3,3,4,4,3,4,3,3,2,2,3,3,4,3,3,4,4,2,3,2,4,4,4,4,4,5,Mixed Breed Dogs,10 to 15 inches,12 to 35 pounds,10 to 12 years,10 to 15,2
Boxmatian,https://dogtime.com/dog-breeds/boxmatian,2,1,2,3,2,2,4,3,4,3,2,1,4,3,2,3,5,4,5,4,3,4,4,3,3,4,5,5,4,5,4,Mixed Breed Dogs,19 to 25 inches,50 to 90 pounds,10 to 13 years,19 to 25,4
Boxweiler,https://dogtime.com/dog-breeds/boxweiler,3,2,3,4,2,3,2,4,5,4,4,2,3,3,2,3,3,4,4,3,4,4,2,2,3,1,4,4,3,4,4,Mixed Breed Dogs,21 to 27 inches,70 to 100 pounds,8 to 13 years,"21,27",4
Boykin Spaniel,https://dogtime.com/dog-breeds/boykin-spaniel,3,1,3,4,3,3,4,4,5,5,4,3,3,4,1,1,2,4,3,4,4,4,4,2,3,4,5,5,5,5,4,Sporting Dogs,"1 foot, 2 inches to 1 foot, 6 inches tall at the shoulder",25 to 40 pounds,10 to 12 years,"14,18",3
Bracco Italiano,https://dogtime.com/dog-breeds/bracco-italiano,3,1,2,4,3,3,3,4,5,4,5,3,3,3,2,5,2,3,4,3,3,4,2,5,2,3,4,4,4,5,4,Sporting Dogs,22 to 26 inches,55 to 90 pounds,10 to 14 years,"22,26",4
Braque du Bourbonnais,https://dogtime.com/dog-breeds/braque-du-bourbonnais,2,1,3,3,2,2,3,4,5,4,4,4,3,2,1,4,4,1,3,3,4,4,3,4,3,2,4,5,2,5,3,Working Dogs,18 to 23 inches.,35 to 55 pounds.,12 to 15 years. ,"18,23",4
Briard,https://dogtime.com/dog-breeds/briard,3,3,3,4,3,4,3,4,4,5,5,2,2,1,1,1,3,3,4,4,4,4,2,3,4,5,4,4,4,4,4,Herding Dogs,"1 foot, 10 inches to 2 feet, 3 inches tall at the shoulder",70 to 100 pounds,10 to 12 years,"22,27",5
Brittany,https://dogtime.com/dog-breeds/brittany,3,1,3,5,1,4,3,5,5,5,5,4,4,3,5,3,4,3,3,4,3,5,3,5,3,4,5,5,3,5,5,Sporting Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",30 to 40 pounds,10 to 13 years,"17,20",3
Broholmer,https://dogtime.com/dog-breeds/broholmer,3,2,4,3,3,3,3,4,5,4,3,3,4,3,2,4,4,3,5,3,4,4,3,2,3,2,3,3,3,3,3,Companion Dogs,22 to 30 inches.,90 to 150 pounds. ,8 to 12 years. ,"22,30",5
Brussels Griffon,https://dogtime.com/dog-breeds/brussels-griffon,3,5,2,5,1,1,2,4,5,4,4,3,3,3,3,3,3,3,1,3,3,4,3,1,4,5,4,5,3,4,5,Companion Dogs,7 inches to 8 inches tall at the shoulder,7 to 12 pounds,12 to 15 years,"7,8",1
Bugg,https://dogtime.com/dog-breeds/bugg,3,5,4,3,2,2,3,3,4,3,2,3,3,2,2,4,4,4,2,3,3,4,4,3,4,2,3,4,3,2,4,Mixed Breed Dogs,14 to 18 inches,10 to 25 pounds,10 to 15 years,"14,18",3
